"Warehouse ID","Variant Name",Stock,Barcode1,"Cost Price","Selling Price","Shopify Variant ID",SKU,"KSU (Shopify Product)","Created At","Updated At"
108622,FR,2,C14AC04FPKFR,15017,110000,,C14AC04FPKFR,,"2025-06-02 17:48:35","2025-09-01 10:03:00"
108624,FR,6,C14AC05FGNFR,15017,110000,,C14AC05FGNFR,,"2025-06-02 17:48:35","2025-09-01 10:03:00"
108626,FR,2,C14AC05FGRFR,15017,110000,,C14AC05FGRFR,,"2025-06-02 17:48:35","2025-09-01 10:03:00"
108628,FR,1,C14AC05FPKFR,15017,110000,44219978186924,C14AC05FPKFR,,"2025-06-02 17:48:36","2025-11-24 18:16:00"
108630,FR,0,C14BG01FBKFR,11924,48000,,C14BG01FBKFR,,"2025-06-02 17:48:36","2025-09-01 10:03:00"
108632,FR,0,C14BG01FPKFR,11924,48000,,C14BG01FPKFR,,"2025-06-02 17:48:36","2025-09-01 10:03:00"
108634,FR,0,C14BG01FPPFR,11924,48000,,C14BG01FPPFR,,"2025-06-02 17:48:36","2025-09-01 10:03:00"
108636,FR,0,C14BG02FBGFR,12529,48000,,C14BG02FBGFR,,"2025-06-02 17:48:37","2025-09-01 10:03:00"
108638,FR,0,C14BG02FBKFR,12529,48000,,C14BG02FBKFR,,"2025-06-02 17:48:37","2025-09-01 10:03:00"
108640,FR,0,C14BG02FPPFR,12529,48000,,C14BG02FPPFR,,"2025-06-02 17:48:37","2025-09-01 10:03:00"
108642,FR,17,C14BG03FGNFR,7766,48000,44219978252460,C14BG03FGNFR,,"2025-06-02 17:48:37","2025-11-24 18:16:00"
108644,FR,19,C14BG03FNVFR,7766,48000,44219978285228,C14BG03FNVFR,,"2025-06-02 17:48:37","2025-11-24 18:16:00"
108646,FR,23,C14HT01UBKFR,12650,58000,44219978317996,C14HT01UBKFR,,"2025-06-02 17:48:38","2025-11-24 18:16:00"
108648,FR,26,C14HT01UCCFR,12650,58000,44219978350764,C14HT01UCCFR,,"2025-06-02 17:48:38","2025-11-24 18:16:00"
